i,j,H_ij
151,150,234420000000.0
151,151,-477390000000.0
151,152,237850000000.0
152,66,2565200000.0
152,67,1609700.0
152,68,-2566800000.0
152,151,237550000000.0
152,152,-480530000000.0
152,153,237850000000.0
153,67,2531600000.0
153,68,17501000.0
153,69,-2549100000.0
153,152,234590000000.0
153,153,-477530000000.0
153,154,237860000000.0
154,68,2549100000.0
154,70,-2549100000.0
154,153,237860000000.0
154,154,-480810000000.0
154,155,237860000000.0
155,69,2578000000.0
155,70,-14486000.0
155,71,-2563600000.0
155,154,240550000000.0
155,155,-483540000000.0
155,156,237850000000.0
156,70,2576400000.0
156,71,-6457100.0
156,72,-2570000000.0
156,155,239050000000.0
156,156,-482040000000.0
156,157,237850000000.0
157,71,2605800000.0
157,72,-17962000.0
157,73,-2587800000.0
157,156,241160000000.0
157,157,-484190000000.0
157,158,237840000000.0
158,72,2629000000.0
158,73,-20660000.0
158,74,-2608300000.0
158,157,241620000000.0
158,158,-484680000000.0
158,159,237830000000.0
159,73,2651700000.0
159,74,-21755000.0
159,75,-2629900000.0
159,158,241780000000.0
159,159,-484870000000.0
159,160,237820000000.0
160,74,2672100000.0
160,75,-21168000.0
160,76,-2650900000.0
160,159,241630000000.0
160,160,-484760000000.0
160,161,237800000000.0
161,75,2700500000.0
161,76,-24907000.0
161,77,-2675600000.0
161,160,242250000000.0
161,161,-485420000000.0
161,162,237790000000.0
162,76,2759400000.0
162,77,-42256000.0
162,78,-2717200000.0
162,161,245250000000.0
162,162,-488490000000.0
162,163,237770000000.0
163,77,2804900000.0
163,78,-44181000.0
163,79,-2760700000.0
163,162,245440000000.0
163,163,-488760000000.0
163,164,237750000000.0
164,78,2809700000.0
164,79,-24624000.0
164,80,-2785100000.0
164,163,241970000000.0
164,164,-485310000000.0
164,165,237740000000.0
165,79,2819900000.0
165,80,-17479000.0
165,81,-2802500000.0
165,164,240710000000.0
165,165,-484060000000.0
165,166,237730000000.0
166,80,2737300000.0
166,81,32394000.0
166,82,-2769700000.0
166,165,232200000000.0
166,166,-475450000000.0
166,167,237750000000.0
167,81,2917000000.0
167,82,-74604000.0
167,83,-2842400000.0
167,166,250390000000.0
167,167,-493860000000.0
167,168,237710000000.0
168,82,2936200000.0
168,83,-47299000.0
168,84,-2888900000.0
168,167,245560000000.0
168,168,-489070000000.0
168,169,237690000000.0
169,83,3238000000.0
169,84,-179550000.0
169,85,-3058500000.0
169,168,266410000000.0
169,169,-510310000000.0
169,170,237600000000.0
170,84,26515000000.0
170,85,-26515000000.0
170,169,2059900000000.0
170,170,-2086400000000.0
