i,j,"H(i, j)"
118,118,-479628894133.4874
118,119,232206248991.12448
119,33,13088539244.309904
119,34,374556793.8778977
119,35,-13463096038.187801
119,118,219465558422.20306
119,119,-478416080468.2155
119,120,232398886763.51477
120,34,12644575300.68054
120,35,402843280.6005663
120,36,-13047418581.281107
120,119,218269647274.32343
120,120,-476568366648.25323
120,121,232606725491.9681
121,35,12147182500.780853
121,36,442073818.4343843
121,37,-12589256319.215237
121,120,216557499696.81262
121,121,-474129745139.80975
121,122,232835806623.00107
122,36,11703368280.207256
122,37,434864831.6464773
122,38,-12138233111.853735
122,121,216451482488.99615
122,122,-473354402107.739
122,123,233061318226.6818
123,37,11344380408.084997
123,38,390215192.22786885
123,39,-11734595600.312866
123,122,217818872648.87546
123,123,-474160985639.7255
123,124,233263136982.45224
124,38,10950561236.09142
124,39,385240795.61304164
124,40,-11335802031.704462
124,123,217677911762.12497
124,124,-473426808796.6773
124,125,233462533766.75644
125,39,10427709044.188877
125,40,444569712.77552086
125,41,-10872278756.964396
125,124,214760223231.66898
125,125,-469754506436.9488
125,126,233694295404.12646
126,40,9768897016.360807
126,41,536934901.0514138
126,42,-10305831917.412222
126,125,209977646466.39005
126,126,-464029894224.0657
126,127,233977518823.90256
127,41,9106037814.144838
127,42,581340321.6655163
127,43,-9687378135.810354
127,126,206738102381.66922
127,127,-459818264046.32794
127,128,234286745714.7035
128,42,8520680557.082552
128,43,564640269.9937229
128,44,-9085320827.076275
128,127,206070465197.7981
128,128,-458264240951.02747
128,129,234587774369.07053
129,43,7977339961.757605
129,44,535984471.10786724
129,45,-8513324432.865471
129,128,205979124197.46533
129,129,-457343561158.26434
129,130,234873772566.17593
130,44,7423253489.124437
130,45,526373250.5606996
130,46,-7949626739.685138
130,129,204799848220.84796
130,130,-455328349862.42365
130,131,235155621412.7661
131,45,6874724416.424051
131,46,517940397.34715873
131,47,-7392664813.77121
131,130,203359245046.73584
131,131,-453060736652.65424
131,132,235434102375.72308
132,46,6399351238.86243
132,47,478748697.4936482
132,48,-6878099936.356077
132,131,203800057578.96317
132,132,-452768893568.6123
132,133,235691384814.43063
133,47,5995799990.397927
133,48,426015292.86581475
133,49,-6421815283.263742
133,132,205457672305.3415
133,133,-453794814719.9799
133,134,235919527140.9768
134,48,5656113800.314237
134,49,370702776.1825894
134,50,-6026816576.496826
134,133,207789796866.83167
134,134,-455589753738.003
134,135,236117026494.36026
135,49,5324023749.361874
135,50,340507527.47974443
135,51,-5664531276.841619
135,134,208583194913.72076
135,135,-455869919084.1121
135,136,236298169144.18787
136,50,4986500100.800084
136,51,328213982.09806865
136,52,-5314714082.898152
136,135,208013829683.24875
136,136,-454788121608.10657
